lemma,pos,sent1,sent2,start1,end1,start2,end2,tag,position1,position2
be,VERB,"Position may not be everything, but in the case of a pool it can certainly contribute difficulties, social and / or physical. ",The movie was The Great Train Robbery and its effects on the young industry and art were all but incalculable. ,17,19,10,13,T,3,2
be,VERB,"Position may not be everything, but in the case of a pool it can certainly contribute difficulties, social and / or physical. ","Seigner is the dean of the company, the oldest actor in point of continuous service. ",17,19,8,10,F,3,1
review,NOUN,"The action of the Commission in allowing or denying any claim under this title shall be final and conclusive on all questions of law and fact and not subject to review by the Secretary of State or any other official, department, agency, or establishment of the United States or by any court by mandamus or otherwise. ","Such certification shall be final and conclusive and shall not be subject to review by any other official or department, agency, or establishment of the United States. ",161,167,77,83,T,30,13
review,NOUN,"The action of the Commission in allowing or denying any claim under this title shall be final and conclusive on all questions of law and fact and not subject to review by the Secretary of State or any other official, department, agency, or establishment of the United States or by any court by mandamus or otherwise. ","He opens his discourse, however, with a review of the Eisenhower inaugural festivities at which a sympathetic press had assembled its massive talents, all primed to catch some revelation of the emerging new age. ",161,167,42,48,F,30,9
benefit,NOUN,"Thus, besides the training provided to youth in school, the existence of the school program can have supplementary benefits to industry which make it an asset to industrial development efforts. ","The concentration of effective power in Rabat leads not only to party bickering, but to distraction from local activity that might have had many auxiliary benefits in addition to contributing to more meaningful elections. ",117,125,156,164,T,20,26
benefit,NOUN,"Thus, besides the training provided to youth in school, the existence of the school program can have supplementary benefits to industry which make it an asset to industrial development efforts. ","Generally, your employee will greatly appreciate benefits that protect him during his working life or during retirement. ",117,125,50,58,F,20,7
service,NOUN,From many sides come remarks that Protestant churches are badly attended and the large medieval cathedrals look all but empty during services. ,Kate moved through all the preparations and services in a state of bewilderment. ,133,141,44,52,T,21,7
service,NOUN,From many sides come remarks that Protestant churches are badly attended and the large medieval cathedrals look all but empty during services. ,The credit provdied by the first two services in the system outlined above is primarily for general agricultural purposes. ,133,141,37,45,F,21,7
program,NOUN,"These amendments to the Vocational Rehabilitation Act were designed to help provide for more specialized rehabilitation facilities, for more sheltered and `` half-way '' workshops, for greater numbers of adequately trained personnel, for more comprehensive services to individuals ( particularly to the homebound and the blind ), and for other administrative improvements to increase the program 's overall effectiveness. ","The apprentice program will involve further education on a part-time basis, usually at night, perhaps using some of the same equipment of the high school. ",392,399,15,22,T,59,2
program,NOUN,"These amendments to the Vocational Rehabilitation Act were designed to help provide for more specialized rehabilitation facilities, for more sheltered and `` half-way '' workshops, for greater numbers of adequately trained personnel, for more comprehensive services to individuals ( particularly to the homebound and the blind ), and for other administrative improvements to increase the program 's overall effectiveness. ","Similarly, in presenting still photographs of early jazz groups, the program allowed no time for a close perusal. ",392,399,71,78,F,59,12
permit,VERB,The New York Central also has asked the ICC to permit it to gain control of the B + O. ,Its the start of a direct threat to our own security and I don't believe we can permit that ''. ,47,53,81,87,T,10,18
permit,VERB,The New York Central also has asked the ICC to permit it to gain control of the B + O. ,"- Using a portable grill permits you to toast the buns, too. ",47,53,25,32,F,10,5
